prod_name,prod_price,prod_link
"Lenovo Yoga Slim 7i 10th Gen Intel Core i5 14"" FHD IPS Thin & Light Laptop (8GB/512GB SSD/Win10/Office 2019/NVIDIA MX350 2GB GDDR5 Graphics/1.55Kg) 82A1009LIN + Lenovo Laptop Urban Backpack B530",70742.00,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09554693J7S3XL3LLVB7&url=%2FLenovo-Laptop-Graphics-82A1009LIN-Backpack%2Fdp%2FB08HWKLXH3%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993501%26sr%3D8-18-spons%26psc%3D1&qualifier=1620993501&id=8481010382958041&widgetName=sp_atf_next
"LifeDigital ZED AIR CX3 Laptop, 15.6"" (39.62 cms) IPS FHD, Intel® Core™ i3 5005u/4GB RAM/1TB HDD+128GB Storage/Camera/Type-C Data/Win10, Black","₹26,048",https://www.amazon.in/LifeDigital-Laptop-Intel%C2%AE-CoreTM-Storage/dp/B08HRK3CCX/ref=sr_1_19?dchild=1&keywords=Laptop&qid=1620993501&sr=8-19
"(Renewed) Lenovo IdeaPad B40-70 14-inch Laptop (Core i3/4GB RAM (Upgradable to 16)/500GB HDD/Windows 10 Pro/MS Office 2019/More than 4 GB Intel Integrated Graphics, Fingerprint Scanner), Black","₹30,999",https://www.amazon.in/Lenovo-Upgradable-Integrated-Graphics-Fingerprint/dp/B091N5282P/ref=sr_1_20?dchild=1&keywords=Laptop&qid=1620993501&sr=8-20
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i5 14 inch Full HD Thin and Light Laptop (8GB/512GB SSD/Windows 10/MS Office 2019/Platinum Grey/1.6Kg), 81WD00TLIN","₹50,990",https://www.amazon.in/Lenovo-IdeaPad-Windows-Platinum-81WD00TLIN/dp/B08JCGNJHQ/ref=sr_1_21?dchild=1&keywords=Laptop&qid=1620993501&sr=8-21
"HP 14 4th Gen Ryzen 5 5500U 14-inch(35.6 cm) FHD Laptop with Alexa Built-in(8GB/512GB SSD/Windows 10/MS Office/Natural Silver/1.46Kg), 14s-fq1030AU","₹51,484",https://www.amazon.in/HP-14-inch-Windows-Natural-14s-fq1030AU/dp/B0928TPR8H/ref=sr_1_22?dchild=1&keywords=Laptop&qid=1620993501&sr=8-22
Dell Vostro 3401 14 inch (35.56 cms) FHD Anti Glare 2 Side Narrow Border Display Laptop (10th gen i3-1005G1 / 4GB / 1TB / Integrated Graphics/ Win 10 + MSO/ Black) D552124WIN9BE,"₹38,490",https://www.amazon.in/Dell-i3-1005G1-Integrated-Graphics-D552124WIN9BE/dp/B08HYZ2HQR/ref=sr_1_23?dchild=1&keywords=Laptop&qid=1620993501&sr=8-23
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)","₹33,990",https://www.amazon.in/HP-3-3250-Laptop-Windows-15s-gr0011AU/dp/B08T6SJ215/ref=sr_1_24?dchild=1&keywords=Laptop&qid=1620993501&sr=8-24
"HP 15 Thin & Light Ryzen 3-3250 Laptop, 4 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0006au)","₹31,483",https://www.amazon.in/HP-db1060au-Laptop-Ryzen3-Microsoft-Natural/dp/B083SNGBLF/ref=sr_1_25?dchild=1&keywords=Laptop&qid=1620993501&sr=8-25
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)","₹59,995",https://www.amazon.in/HP-Laptop-15-6-inch-Windows-15s-fq2535TU/dp/B08XNYN5QV/ref=sr_1_26?dchild=1&keywords=Laptop&qid=1620993501&sr=8-26
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 14"" FHD IPS Thin & Light Laptop (8GB/512GB SSD/Win 10/Office/Intel Iris Xe Graphics/Fingerprint Reader/Graphite Grey/Aluminium Surface/1.39Kg), 82FE00K0IN","₹57,980",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0435317HX4OAB4G3ZR2&url=%2FLenovo-Graphics-Fingerprint-Aluminium-82FE00K0IN%2Fdp%2FB08WR9PF4K%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993501%26sr%3D8-27-spons%26psc%3D1&qualifier=1620993501&id=8481010382958041&widgetName=sp_mtf
Acer Aspire 3 core i5 11th Generation Processor 15.6-inch Full HD Ultra Slim Thin and Light Laptop - (8 GB/1 TB HDD/Windows 10 Home/Intel Iris Xe Graphic/1.7Kg/Silver) A315-58,"₹45,490",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0205586FRY1S2CDP01F&url=%2FAcer-Aspire-Generation-Processor-15-6-inch%2Fdp%2FB093Q8BV1X%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993501%26sr%3D8-28-spons%26psc%3D1&qualifier=1620993501&id=8481010382958041&widgetName=sp_mtf
Asus X509MA-BR270T/ Silver/ Intel Celeron N4020/ RAM 4GB/ SSD 256GB/ 15.6 inch HD/ FP/ 2Cell/ Win 10SL,"₹28,990",https://www.amazon.in/Asus-X509MA-BR270T-Silver-Intel-Celeron/dp/B0915RJKGR/ref=sr_1_29?dchild=1&keywords=Laptop&qid=1620993501&sr=8-29
"Lenovo IdeaPad S145 10th Gen Intel Core i5 15.6-inch (39.62 cms) Full HD Thin and Light Laptop (8GB/1TB HDD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81W800TEIN","₹44,490",https://www.amazon.in/Lenovo-IdeaPad-15-6-inch-Platinum-81W800TEIN/dp/B08W8J4TQB/ref=sr_1_30?dchild=1&keywords=Laptop&qid=1620993501&sr=8-30
"Lenovo E41-45 (82BF000JIH) Laptop (AMD A6-7350B/ 4GB RAM/ 1TB HDD/ Win 10 Home SL/ 14"" (35.56cms) Screen), 1 Year Warranty","₹24,599",https://www.amazon.in/Lenovo-E41-45-82BF000JIH-A6-7350B-35-56cms/dp/B08Q7JSR2F/ref=sr_1_31?dchild=1&keywords=Laptop&qid=1620993501&sr=8-31
"(Renewed) AVITA Essential Intel Celeron 14-Inch (35.56 cms) 1920x1080 Laptop (4 GB/128 GB SSD/Window 10 Home in S mode/Intel UHD Graphics 600/Matt Black/1.38 Kg), NE14A2INC433-MB","₹17,000",https://www.amazon.in/Renewed-Essential-NE14A2INC433-MB-Integrated-Graphics/dp/B08M49HBF4/ref=sr_1_32?dchild=1&keywords=Laptop&qid=1620993501&sr=8-32
"ASUS VivoBook 14 (2020) Intel Core i5-1035G1 10th Gen 14-inch (35.56 cms) FHD Thin and Light Laptop (8GB/1TB HDD/Integrated Graphics/Windows 10/MS Office 19/Transparent Silver/1.6 kg), X415JA-EK085TS","₹44,490",https://www.amazon.in/ASUS-i5-1035G1-Integrated-Transparent-X415JA-EK085TS/dp/B08JMPT24V/ref=sr_1_33?dchild=1&keywords=Laptop&qid=1620993501&sr=8-33
